Time,I,Q
12-54-24.043,6254,12918
12-54-24.109,6234,12927
12-54-24.168,6236,12937
12-54-24.230,6213,12942
12-54-24.293,6214,12926
12-54-25.957,6159,12943
12-54-25.965,6145,12941
12-54-25.988,6116,12956
12-54-26.098,6076,12976
12-54-26.102,6074,12971
12-54-26.129,6106,12957
12-54-26.160,6297,12897
12-54-26.223,6186,12954
12-54-26.285,6194,12940
12-54-26.328,6200,12933
12-54-26.441,6172,12947
12-54-26.473,6133,12969
12-54-26.535,6091,12972
12-54-26.598,6086,12965
12-54-26.660,6075,12962
12-54-26.723,6073,12976
12-54-26.785,6062,13003
12-54-26.848,6083,12986
12-54-26.906,6079,12978
12-54-26.973,6073,12990
12-54-27.031,6041,13012
12-54-27.098,6021,13025
12-54-27.160,6053,13011
12-54-27.219,6059,13015
12-54-27.285,6034,13025
12-54-27.344,6017,13028
12-54-27.457,6031,13022
12-54-27.473,6065,13002
12-54-27.531,6104,12970
12-54-27.598,6135,12957
12-54-27.656,6141,12954
12-54-27.719,6125,12974
12-54-27.781,6080,13014
12-54-27.844,6035,13033
12-54-27.902,6159,12937
12-54-27.969,6119,12994
12-54-28.031,6097,13004
12-54-28.094,6165,12998
12-54-28.156,6213,12981
12-54-28.215,6219,12980
12-54-28.281,6175,12992
12-54-28.453,6132,12995
12-54-28.469,6116,12994
12-54-28.531,6103,12988
12-54-28.594,6104,12979
12-54-28.656,6090,12976
12-54-28.719,6081,12970
12-54-28.785,6016,12982
12-54-28.844,6025,13016
12-54-28.906,6036,13005
12-54-28.969,6037,13005
12-54-29.031,6028,13012
12-54-29.188,6029,13020
12-54-29.215,6036,13024
12-54-29.281,6034,13025
12-54-29.340,6014,13034
12-54-29.453,5988,13036
12-54-29.465,6001,13030
12-54-29.527,6044,12996
12-54-29.594,6079,12976
12-54-29.652,6086,12980
12-54-29.711,6068,12995
12-54-29.777,6053,13012
12-54-29.840,6025,13009
12-54-29.902,6131,12965
12-54-29.965,6078,12980
12-54-30.027,6090,13007
12-54-30.090,6247,12950
12-54-30.152,6293,12949
12-54-30.215,6273,12956
12-54-30.281,6215,12971
12-54-30.289,6204,12960
12-54-30.449,6193,12961
12-54-30.465,6146,12971
12-54-30.527,6116,12993
12-54-30.590,6067,13000
12-54-30.648,6048,12999
12-54-30.711,6060,12984
12-54-30.777,6031,13001
12-54-30.840,6085,12991
12-54-30.898,6077,13003
12-54-30.961,6080,12994
12-54-31.023,6081,12992
12-54-31.090,6077,13000
12-54-31.148,6080,13004
12-54-31.211,6094,12983
12-54-31.273,6085,12993
12-54-31.336,6067,13000
12-54-31.445,6051,12997
12-54-31.461,6052,12995
12-54-31.535,6073,12987
12-54-31.602,6113,12974
12-54-31.664,6137,12955
